Card_Type_Code,Card_Type_Full_Name,Issuing_Bank,Card_Number,Card_Holders_Name,CVV_CVV2,Issue_Date,Expiry_Date,Billing_Date,Card_PIN,Credit_Limit
DS,Discover,Discover,6062829551172269,Gerald Jewess,284,11/2001,12/2005,16,7857,562980
JC,JCB,Japan Credit Bureau,6494598477706975,Ruth Conn,751,03/2013,08/2016,11,5312,911435
AX,American Express,American Express,3938214235842739353,Irving Zulauf,713,01/2017,11/2021,9,1995,680357
HR,Hiper,GE Capital,4284630869492192,Winona Mante,695,09/2008,05/2012,23,6654,68218
HR,Hiper,U.S. Bancorp,3528505013961193489,Adelia Wilkinson,800,01/2001,06/2005,12,1346,376936
HR,Hiper,GE Capital,6062828581578628,Walker Hammes,812,06/2016,09/2019,8,6989,893289
JC,JCB,Japan Credit Bureau,5160365944555137,Sim Bauch,249,08/2013,09/2016,21,8342,419407
DS,Discover,Discover,3004873092526953,Kristy Kuhn,799,10/2003,08/2007,8,4300,384419
AX,American Express,American Express,4265171601842561,Dexter Aufderhar,628,07/2000,07/2004,22,8930,167877
MT,Maestro,U.S. Bancorp,2221969169802480,Carlos Senger,910,09/2014,02/2019,25,4220,969216
VI,Visa,Capital One,6370951569619714,Skyla Aufderhar,805,01/2003,02/2007,14,4539,909142
UP,UnionPay,Bank of America,4681498158331573,Kamron Reinger,404,05/2016,02/2021,24,7207,394974
EO,Elo,Wells Fargo,3812618758341091595,Audrey Streich,716,07/2004,01/2009,5,1844,130817
EO,Elo,Capital One,500000169663,Haylee Barrows,133,06/2009,04/2014,16,8948,780462
DS,Discover,Discover,377601677156978,Terry McCullough,6781,08/2020,02/2025,12,2710,911045
EO,Elo,Wells Fargo,2720532666964348,Carlee Champlin,948,03/2007,06/2010,15,3019,47685
DS,Discover,Discover,6376122330174918,Zoe Klein,883,12/2005,06/2010,7,2921,235641
MC,Mastercard,U.S. Bancorp,506779813589,Blaze Ankunding,776,02/2019,09/2022,22,3270,741228
VI,Visa,Capital One,628907506581299870,Prudence Kiehn,671,07/2008,10/2012,21,4599,665686
MT,Maestro,Wells Fargo,506779988813103372,Dessie Wyman,411,11/2019,11/2024,25,3436,716071
MC,Mastercard,Wells Fargo,6447718742445963,Emma Gorczany,374,11/2020,11/2023,3,4298,179624
DC,Diners Club,Diners Club International,213153179488416898,Norberto Aufderhar,531,10/2017,04/2021,1,9611,384135
AX,American Express,American Express,35893568490262641,Morris McLaughlin,761,09/2019,07/2023,27,6953,544276
AX,American Express,American Express,6062829700889037,Maximillian Hudson,6006,04/2014,09/2017,8,3630,891932
HC,Hipercard,GE Capital,6376097157237180,Janessa Huel,987,07/2015,11/2018,22,7882,630051
MC,Mastercard,Chase,5192544292666488,Deshawn Hand,250,03/2020,12/2023,15,6877,95756
DC,Diners Club,Diners Club International,39906869610546,Brandon Frami,220,04/2014,01/2018,5,3924,948049
DC,Diners Club,Diners Club International,6272978563122775186,Clair Quitzon,719,09/2014,01/2018,8,8335,267938
AX,American Express,American Express,6327801374883241,Harley Tromp,594,10/2014,11/2017,6,7369,597006
HC,Hipercard,U.S. Bancorp,3879387420282061586,Betty Huel,719,06/2018,10/2022,8,1227,669127
DS,Discover,Discover,2229165350774149,Ronny Rath,528,12/2002,10/2006,16,5113,572436
MC,Mastercard,Chase,3955026714100439,Rosanna Auer,318,02/2011,05/2014,21,4036,721522
DC,Diners Club,Diners Club International,6011205716789699035,Vita Walker,867,07/2005,12/2008,18,6316,290821
EO,Elo,Capital One,2615550652394922,Loma Cummings,328,07/2002,02/2006,18,3981,591740
UP,UnionPay,Chase,2720587941482235,Kacey Cummings,847,04/2018,07/2022,22,6515,442274
